url,type,label
https://www.youtube.com/redirect?stzid=Ugwqr2IrJca84j48K9Z4AaABAg&amp;event=comments&amp;redir_token=HZRoW_amrFyVfL1v0T7kQVi5RnV8MTU4NzQ4ODk4MEAxNTg3NDAyNTgw&amp;q=https%3A%2F%2Fservices.runescape.com-en.ru%2Fm%3Dforum%2Fforums.ws565%2C441%2C297%2C81962356%2C1103,phishing,phishing
https://ewi.my.salesforce.com/_ui/core/feeds/notification/ChatterEmailSettings?setupid=CollaborationEmailSettings&amp;fromEmail=1&amp;s1oid=00D300000001O56&amp;s1nid=000000000000000&amp;s1uid=00530000000jzA5&amp;s1ext=0&amp;emkind=chatterUnifiedUserDigest&amp;emtm=1544247073991,phishing,phishing
https://ewi.my.salesforce.com/a1L0b000007sEYK?fromEmail=1&amp;s1oid=00D300000001O56&amp;s1nid=000000000000000&amp;s1uid=00530000000jzA5&amp;s1ext=0&amp;emkind=chatterUnifiedUserDigest&amp;emtm=1544247073991,phishing,phishing
https://ewi.my.salesforce.com/_ui/core/feeds/notification/ChatterEmailSettings?setupid=CollaborationEmailSettings&amp;fromEmail=1&amp;s1oid=00D300000001O56&amp;s1nid=000000000000000&amp;s1uid=00530000000jzA5&amp;s1ext=0&amp;emkind=chatterUnifiedUserDigest&amp;emtm=1544247073991,phishing,phishing
en.wikipedia.org/wiki/Funfair,phishing,phishing
en.wikipedia.org/wiki/Traveling_carnival,phishing,phishing
en.wikipedia.org/wiki/Vivendi,phishing,phishing
www.apple.com/airplay/,phishing,phishing
sportsillustrated.cnn.com/swimsuit/collection/,phishing,phishing
archives.cnn.com/2001/SHOWBIZ/Movies/01/03/sbtst.bellucci/,phishing,phishing
www.nytimes.com/2008/01/13/fashion/13bruni.html,phishing,phishing
sportsillustrated.cnn.com/swimsuit/collection/models/molly_sims.html,phishing,phishing
www-cgi.cnn.com/STYLE/9910/11/fw.estella.warren/,phishing,phishing
www.adobe.com/shockwave/download/download.cgi?P1_Prod_Version=ShockwaveFlash&amp;P5_Language,phishing,phishing
pro.sony.com/bbsc/home.do?m=10005,phishing,phishing
www.who.int/trialsearch/,phishing,phishing
www.who.int/ictrp/,phishing,phishing
www.un.org/partners/business/index.asp,phishing,phishing
www-306.ibm.com/software/data/,phishing,phishing
en.wikipedia.org/wiki/Quality_control,phishing,phishing
en.wikipedia.org/wiki/Cooperative,phishing,phishing
researchweb.watson.ibm.com/iac/,phishing,phishing
www-306.ibm.com/software/info1/websphere/index.jsp?tab=products/commerce&amp;S_TACT=103BHW06&amp;S_CMP=campaign,phishing,phishing
www.samsung.com/Products/Semiconductor/,phishing,phishing
www.adobe.com/aboutadobe/careeropp/college/internships.html,phishing,phishing
en.wikipedia.org/wiki/Resume,phishing,phishing
money.cnn.com/2008/02/18/pf/saving/toptips/index.htm,phishing,phishing
en.wikipedia.org/wiki/Atmospheric_water_generator,phishing,phishing
en.wikipedia.org/wiki/Case_management,phishing,phishing
www-03.ibm.com/able/,phishing,phishing
en.wikipedia.org/wiki/In-N-Out_Burger,phishing,phishing
www.forbes.com/2003/04/23/ceoland.html,phishing,phishing
en.wikipedia.org/wiki/Water_jet_cutter,phishing,phishing
www.nytimes.com/library/tech/reference/index-circuits-columns.html#shopper,phishing,phishing
www.ibm.com/developerworks/blogs/page/InsideSystemStorage,phishing,phishing
www.nytimes.com/business/,phishing,phishing
money.cnn.com/magazines/fortune/,phishing,phishing
en.wikipedia.org/wiki/Real_estate_investment_trust,phishing,phishing
money.cnn.com/retirement/,phishing,phishing
www.forbes.com/200best/,phishing,phishing
www.forbes.com/private500/,phishing,phishing
www.forbes.com/lists/,phishing,phishing
money.cnn.com/magazines/fortune/fortune500_archive/full/1955/,phishing,phishing
money.cnn.com/magazines/fortune/fortune500/,phishing,phishing
money.cnn.com/magazines/fortune/global500/,phishing,phishing
office.microsoft.com/en-us/visio,phishing,phishing
